Lodwar,Month,Year
0,Jan,2011
0,Jan,2011
0,Jan,2011
0,Jan,2011
0,Jan,2011
0,Jan,2011
0,Jan,2011
0,Jan,2011
0,Jan,2011
0,Jan,2011
0,Jan,2011
0,Jan,2011
0,Jan,2011
0,Jan,2011
0,Jan,2011
0,Jan,2011
0,Jan,2011
0,Jan,2011
0,Jan,2011
0,Jan,2011
0,Jan,2011
0,Jan,2011
0,Jan,2011
0,Jan,2011
0,Jan,2011
0,Jan,2011
0,Jan,2011
0,Jan,2011
0,Jan,2011
0,Jan,2011
0,Jan,2011
0,Feb,2011
0.01,Feb,2011
0,Feb,2011
0,Feb,2011
0,Feb,2011
0,Feb,2011
0,Feb,2011
0,Feb,2011
0,Feb,2011
0,Feb,2011
0,Feb,2011
0,Feb,2011
0,Feb,2011
0,Feb,2011
0,Feb,2011
0.01,Feb,2011
0.01,Feb,2011
0.01,Feb,2011
0,Feb,2011
0,Feb,2011
0,Feb,2011
0,Feb,2011
0,Feb,2011
0,Feb,2011
0,Feb,2011
0,Feb,2011
0,Feb,2011
0,Feb,2011
,Feb,2011
,Feb,2011
,Feb,2011
0,Mar,2011
0,Mar,2011
0,Mar,2011
0,Mar,2011
0,Mar,2011
0,Mar,2011
0,Mar,2011
0,Mar,2011
0,Mar,2011
0,Mar,2011
0,Mar,2011
0,Mar,2011
0,Mar,2011
0,Mar,2011
25.7,Mar,2011
0.01,Mar,2011
29,Mar,2011
0,Mar,2011
3.6,Mar,2011
0,Mar,2011
0,Mar,2011
0,Mar,2011
0.01,Mar,2011
0,Mar,2011
0,Mar,2011
0,Mar,2011
0,Mar,2011
0,Mar,2011
0,Mar,2011
0,Mar,2011
0,Mar,2011
0,Apr,2011
0,Apr,2011
0,Apr,2011
0,Apr,2011
0,Apr,2011
0,Apr,2011
0,Apr,2011
0,Apr,2011
0,Apr,2011
0,Apr,2011
0,Apr,2011
0,Apr,2011
0,Apr,2011
0,Apr,2011
0,Apr,2011
0,Apr,2011
0,Apr,2011
0,Apr,2011
0,Apr,2011
0,Apr,2011
0,Apr,2011
0,Apr,2011
0,Apr,2011
0,Apr,2011
0,Apr,2011
0,Apr,2011
0,Apr,2011
16.5,Apr,2011
0,Apr,2011
0,Apr,2011
,Apr,2011
0,May,2011
0,May,2011
0,May,2011
0,May,2011
0,May,2011
0,May,2011
0,May,2011
0,May,2011
0,May,2011
0,May,2011
0,May,2011
0,May,2011
0,May,2011
0,May,2011
0,May,2011
0,May,2011
0,May,2011
0,May,2011
0,May,2011
0,May,2011
0,May,2011
0.3,May,2011
0,May,2011
0,May,2011
0,May,2011
0,May,2011
0,May,2011
0,May,2011
0,May,2011
0,May,2011
0,May,2011
0,Jun,2011
0,Jun,2011
0,Jun,2011
0,Jun,2011
0,Jun,2011
0,Jun,2011
0,Jun,2011
0,Jun,2011
0,Jun,2011
1.8,Jun,2011
0.01,Jun,2011
0,Jun,2011
1.7,Jun,2011
0,Jun,2011
0,Jun,2011
0,Jun,2011
0,Jun,2011
0,Jun,2011
0,Jun,2011
0,Jun,2011
0,Jun,2011
0,Jun,2011
0,Jun,2011
0,Jun,2011
0,Jun,2011
0,Jun,2011
0,Jun,2011
0,Jun,2011
0,Jun,2011
0,Jun,2011
,Jun,2011
0,Jul,2011
0,Jul,2011
0,Jul,2011
0,Jul,2011
0,Jul,2011
0,Jul,2011
0,Jul,2011
0,Jul,2011
0,Jul,2011
0,Jul,2011
0,Jul,2011
0,Jul,2011
0,Jul,2011
0,Jul,2011
0,Jul,2011
0,Jul,2011
0,Jul,2011
0,Jul,2011
0,Jul,2011
0,Jul,2011
0,Jul,2011
19.3,Jul,2011
0,Jul,2011
0,Jul,2011
0,Jul,2011
0,Jul,2011
0,Jul,2011
0,Jul,2011
0,Jul,2011
0,Jul,2011
0.01,Jul,2011
0,Aug,2011
0,Aug,2011
0,Aug,2011
0,Aug,2011
0,Aug,2011
0,Aug,2011
0,Aug,2011
0,Aug,2011
0.01,Aug,2011
0.01,Aug,2011
0.01,Aug,2011
0,Aug,2011
0,Aug,2011
0.01,Aug,2011
0,Aug,2011
0.01,Aug,2011
0,Aug,2011
0,Aug,2011
0,Aug,2011
0,Aug,2011
0,Aug,2011
0,Aug,2011
0,Aug,2011
0.01,Aug,2011
0,Aug,2011
0,Aug,2011
0,Aug,2011
0,Aug,2011
