2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,0,0,0,0,0,0,0,0,0,4.8,0,0,0.01
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.01,0.1,0.3,0,0.01,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,5,0
0,0,0,0,0,0.01,0,0.01,0,0,0,0,0.7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
0.01,0,0,0,0,0,0,0,0,0,0,0,0.6,1.1
0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
0,0,0,0,0,0,0,0,0,0,2.4,0,0.01,0
0,0.01,0,0,0,0,0,0,0,0,3,0,7.4,0
0,0.01,0,0,0,0,0,0,0,0,0.01,0,14,0.01
0,0,0.01,0,0,0,0,0,0,0,0,0,6.6,0.4
0,0,0.01,0,0,0,0,0,0,18,0.7,0,0,0.5
0,0,8,0,0,0.01,0,0,0,0,0,0,0,0
0,0,0.5,0,0,0,0,0,0,0.01,0,0,0,0.5
0,0,0,0,0,0,0,0,0,0.01,0,0,0.5,0
0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
0,0,0,0,0,0,0,0,0,29.6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.8
0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.01,4,0,0,0,0.1
0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0
0,0,0,0,0,0,0,0,0,1.2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.5,0,0,0,0
0,0,0,0,0,0,0,0,0,2.4,0,0.2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.01,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.9,0,0,0,0,0
0,0,0,12.8,0,1.6,0,0,0,0.01,10.6,0,0,0
0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
0,0,0,0,0,0,,0,0,0,0,0,0,0
0,0,0,0,0,0,,0,0,0,0.01,0,0,0
0.3,0,0,0,0,0,,0.4,0,0,0,0,0,0
0.01,0,0,0,0,0,,0,0,0,0,0,0,0
